USER_ID,feat1,feat2,feat3,feat4,feat5,ITEM_ID
user_228,5,2,2,6,7,item_3
user_229,3,10,1,5,4,item_0
user_230,4,3,8,4,6,item_0
user_231,4,8,7,10,4,item_0
user_232,9,9,7,10,7,item_0
user_233,3,8,3,1,4,item_0
user_234,4,1,6,2,5,item_2
user_235,2,8,6,8,1,item_2
user_236,2,7,2,2,4,item_2
user_237,7,2,8,4,8,item_0
user_238,1,6,3,6,2,item_1
user_239,10,7,6,1,3,item_2
user_240,6,4,1,1,10,item_2
user_241,10,1,5,7,3,item_0
user_242,5,1,4,10,2,item_2
user_243,10,4,9,10,4,item_2
user_244,4,7,4,4,3,item_2
user_245,7,6,6,3,7,item_0
user_246,6,10,9,4,10,item_0
user_247,6,5,6,10,2,item_0
user_248,7,2,6,6,3,item_0
user_249,8,7,6,6,5,item_3
user_250,7,9,4,5,6,item_0
user_251,8,7,2,2,9,item_2
user_252,1,5,10,9,5,item_2
user_253,5,10,4,5,10,item_0
user_254,2,9,2,8,3,item_2
user_255,2,6,10,1,6,item_0
user_256,10,10,5,7,8,item_0
user_257,1,3,4,7,5,item_2
user_258,1,2,2,6,3,item_0
user_259,2,6,5,6,3,item_2
user_260,8,5,8,9,6,item_1
user_261,3,5,10,3,5,item_0
user_262,8,4,8,8,1,item_0
user_263,8,1,1,3,5,item_2
user_264,8,4,3,4,3,item_2
user_265,1,4,7,8,8,item_0
user_266,5,6,7,1,7,item_2
user_267,4,1,9,9,8,item_2
user_268,1,6,4,6,7,item_0
user_269,6,4,8,7,7,item_0
user_270,9,4,3,9,2,item_0
user_271,7,10,2,1,9,item_0
user_272,1,8,2,2,4,item_2
user_273,10,7,2,4,8,item_0
user_274,10,10,9,9,6,item_0
user_275,3,10,10,1,5,item_0
user_276,2,9,8,4,8,item_2
user_277,8,6,5,8,9,item_2
user_278,5,4,9,3,4,item_2
user_279,8,3,1,6,6,item_2
user_280,7,3,10,2,7,item_0
user_281,3,2,3,10,6,item_0
user_282,2,7,2,2,5,item_2
user_283,4,6,6,1,3,item_2
user_284,3,1,1,8,8,item_3
user_285,3,5,10,9,4,item_2
user_286,5,9,5,6,6,item_0
user_287,5,9,4,10,3,item_0
user_288,5,7,10,7,10,item_2
user_289,10,5,7,10,7,item_0
user_290,6,2,4,4,5,item_2
user_291,5,5,3,1,3,item_0
user_292,5,2,3,5,9,item_2
user_293,5,2,4,10,6,item_0
user_294,8,5,10,10,5,item_0
user_295,3,7,5,6,1,item_0
user_296,5,8,7,6,10,item_0
user_297,3,9,4,2,7,item_0
user_298,6,5,5,6,5,item_2
user_299,3,8,9,9,8,item_0
user_300,5,9,10,7,2,item_2
user_301,5,6,8,5,1,item_2
user_302,2,4,2,5,8,item_0
user_303,7,6,7,4,9,item_0
user_304,7,5,7,4,1,item_2
user_305,6,2,1,7,1,item_2
user_306,10,3,4,5,1,item_0
user_307,4,9,9,10,6,item_2
user_308,5,1,7,3,9,item_2
user_309,10,5,4,5,3,item_0
user_310,6,7,8,5,6,item_0
user_311,6,3,3,2,4,item_0
user_312,2,3,6,4,2,item_2
user_313,4,7,10,8,9,item_1
user_314,2,1,9,1,7,item_0
user_315,6,8,6,8,3,item_0
user_316,4,7,9,6,4,item_0
user_317,5,1,7,3,1,item_2
user_318,2,4,1,5,8,item_0
user_319,9,10,9,2,6,item_0
user_320,1,9,7,5,2,item_3
user_321,7,5,8,4,8,item_2
user_322,10,1,8,3,2,item_0
user_323,7,4,2,3,7,item_0
user_324,9,5,9,8,8,item_0
user_325,6,8,2,10,1,item_2
user_326,1,4,7,9,4,item_0
user_327,4,1,10,7,9,item_2
user_328,1,8,1,5,7,item_2
user_329,6,3,3,4,8,item_0
user_330,3,5,7,9,1,item_0
user_331,7,1,9,2,6,item_0
user_332,10,9,9,4,3,item_2
user_333,8,1,9,7,10,item_0
user_334,7,6,10,7,1,item_0
user_335,6,4,9,2,5,item_1
user_336,6,10,8,6,6,item_1
user_337,1,4,5,6,5,item_2
user_338,2,10,8,3,2,item_3
user_339,6,7,7,4,7,item_2
user_340,6,9,4,3,10,item_0
user_341,9,8,1,4,1,item_2
user_342,10,4,2,8,3,item_0
user_343,1,5,7,3,4,item_1
user_344,3,7,2,1,2,item_0
user_345,3,8,9,3,6,item_2
user_346,5,4,1,5,1,item_2
user_347,9,10,3,6,4,item_0
user_348,3,7,9,5,4,item_0
user_349,1,4,4,1,6,item_0
user_350,5,9,5,1,2,item_2
user_351,1,2,7,2,6,item_0
user_352,1,10,7,8,2,item_0
user_353,6,1,8,10,1,item_0
user_354,9,7,3,8,6,item_3
user_355,1,6,6,5,2,item_1
user_356,8,9,3,9,4,item_1
user_357,2,9,10,2,10,item_1
user_358,6,5,9,2,6,item_0
user_359,7,2,2,9,8,item_0
user_360,6,5,4,5,7,item_0
user_361,2,3,4,8,9,item_0
user_362,1,1,5,5,3,item_0
user_363,6,10,6,1,4,item_0
user_364,7,7,6,8,5,item_0
user_365,1,4,4,2,10,item_0
user_366,10,1,6,8,5,item_0
user_367,8,6,5,8,7,item_2
user_368,1,2,3,4,7,item_0
user_369,7,1,2,3,10,item_0
user_370,2,3,1,4,3,item_0
user_371,8,2,3,9,2,item_2
user_372,1,9,1,3,4,item_0
user_373,8,2,10,3,4,item_0
user_374,9,8,1,1,5,item_2
user_375,1,7,9,6,1,item_3
user_376,7,6,2,6,1,item_0
user_377,10,2,3,9,3,item_1
user_378,4,4,7,6,7,item_2
user_379,5,7,4,10,8,item_2
user_380,1,6,8,7,9,item_0
user_381,1,7,4,7,10,item_2
user_382,3,3,5,10,6,item_0
user_383,5,7,8,2,7,item_2
user_384,6,8,9,2,2,item_0
user_385,10,6,10,10,7,item_2
user_386,10,7,8,9,10,item_0
user_387,7,3,7,9,3,item_0
user_388,7,4,4,1,2,item_2
user_389,8,9,4,10,6,item_0
user_390,7,10,2,4,8,item_0
user_391,3,3,5,10,3,item_0
user_392,8,6,8,6,5,item_0
user_393,3,4,3,1,4,item_0
user_394,8,4,9,1,4,item_0
user_395,9,2,10,9,10,item_0
user_396,10,10,2,3,10,item_1
user_397,10,2,9,6,9,item_0
user_398,9,8,4,6,2,item_0
user_399,5,5,10,9,3,item_2
user_400,10,1,9,9,8,item_2
user_401,3,8,6,1,9,item_0
user_402,7,9,8,3,4,item_1
user_403,1,7,5,5,2,item_2
user_404,8,1,3,2,5,item_0
user_405,2,9,9,2,10,item_0
user_406,8,1,1,5,9,item_0
user_407,1,1,2,7,5,item_2
user_408,2,2,8,5,3,item_0
user_409,10,9,9,6,2,item_0
user_410,4,9,3,5,1,item_2
user_411,5,6,10,4,1,item_0
user_412,6,8,8,8,10,item_0
user_413,8,10,4,10,8,item_0
user_414,4,5,2,8,5,item_2
user_415,1,6,1,2,1,item_0
user_416,10,7,8,10,1,item_0
user_417,10,5,5,6,9,item_0
user_418,1,6,7,3,2,item_1
user_419,9,5,5,9,8,item_0
user_420,5,1,4,8,7,item_2
user_421,9,4,6,1,3,item_2
user_422,4,3,10,5,3,item_0
user_423,4,6,8,1,1,item_2
user_424,7,2,8,5,7,item_2
user_425,2,10,2,6,9,item_0
user_426,2,10,10,2,5,item_0
user_427,3,3,7,3,2,item_0
user_428,8,7,5,6,1,item_2
user_429,8,5,5,10,9,item_0
user_430,2,10,1,8,1,item_2
user_431,8,10,7,2,1,item_0
user_432,7,2,5,5,4,item_0
user_433,6,6,9,7,6,item_0
user_434,6,10,9,7,5,item_2
user_435,6,6,3,4,7,item_0
user_436,9,2,10,10,6,item_0
user_437,9,6,10,8,1,item_2
user_438,7,6,4,1,2,item_0
user_439,10,4,3,8,6,item_0
user_440,3,6,10,1,4,item_2
user_441,8,10,10,1,10,item_2
user_442,5,4,5,3,9,item_0
user_443,9,4,10,3,8,item_2
user_444,10,9,10,5,7,item_0
user_445,2,8,6,6,9,item_2
user_446,7,3,9,5,1,item_0
user_447,9,3,6,5,8,item_0
user_448,5,3,10,3,4,item_0
user_449,4,8,10,5,6,item_0
user_450,3,4,10,9,3,item_0
user_451,3,8,10,3,5,item_2
user_452,8,2,6,8,6,item_2
user_453,8,2,3,2,3,item_0
user_454,1,1,1,7,8,item_0
user_455,7,4,8,3,2,item_0
user_456,6,9,2,9,2,item_2
user_457,7,5,5,4,4,item_1
user_458,5,9,8,5,2,item_2
user_459,7,6,9,1,7,item_0
user_460,4,5,9,3,5,item_3
user_461,8,8,3,7,6,item_0
user_462,2,7,1,8,8,item_0
user_463,7,9,1,5,6,item_0
user_464,10,1,6,4,10,item_3
user_465,7,8,7,4,8,item_2
user_466,6,4,5,2,6,item_2
user_467,9,8,8,10,10,item_0
user_468,4,5,7,8,6,item_0
user_469,3,9,10,3,4,item_0
user_470,10,10,3,3,10,item_0
user_471,9,10,7,5,2,item_0
user_472,7,8,1,9,9,item_0
user_473,4,10,9,4,1,item_0
user_474,2,5,4,5,8,item_0
user_475,1,6,1,2,8,item_2
user_476,6,3,4,6,3,item_0
user_477,4,5,6,3,7,item_3
user_478,1,2,2,3,10,item_0
user_479,4,8,4,6,5,item_0
user_480,2,3,3,2,9,item_0
user_481,6,3,8,9,3,item_2
user_482,5,2,5,7,8,item_0
user_483,5,3,4,3,3,item_0
user_484,9,2,9,1,5,item_2
user_485,7,4,7,5,1,item_2
user_486,9,2,2,2,3,item_0
user_487,8,8,10,1,3,item_0
user_488,2,7,2,10,3,item_2
user_489,10,6,9,7,2,item_0
user_490,9,4,7,9,5,item_1
user_491,4,7,10,2,8,item_1
user_492,4,4,10,6,3,item_0
user_493,10,1,7,6,4,item_0
user_494,10,6,1,10,4,item_0
user_495,5,10,9,5,4,item_0
user_496,2,4,1,10,10,item_2
user_497,5,3,7,2,6,item_2
user_498,4,2,10,1,10,item_2
user_499,6,7,3,3,8,item_0
user_500,10,5,1,6,3,item_0
user_501,2,2,5,7,7,item_0
user_502,10,8,4,6,6,item_0
user_503,10,4,6,2,8,item_0
user_504,3,2,2,3,10,item_2
user_505,2,4,10,6,10,item_0
user_506,5,7,3,9,9,item_2
user_507,1,2,2,8,4,item_0
user_508,1,1,5,5,1,item_0
user_509,4,3,3,3,4,item_2
user_510,7,6,4,9,4,item_0
user_511,10,1,9,8,8,item_2
user_512,4,6,6,8,4,item_2
user_513,4,6,10,6,6,item_2
user_514,4,2,1,7,1,item_3
user_515,5,1,8,6,6,item_0
user_516,10,2,7,1,10,item_0
user_517,5,4,1,6,7,item_0
user_518,1,10,10,6,8,item_0
user_519,8,1,1,6,2,item_2
user_520,10,4,5,4,9,item_0
user_521,2,4,10,10,8,item_0
user_522,10,6,10,9,6,item_3
user_523,9,1,7,4,2,item_2
user_524,6,3,3,1,4,item_2
user_525,10,5,9,10,10,item_2
user_526,6,7,10,4,8,item_2
user_527,3,4,4,8,8,item_2
user_528,8,7,10,8,10,item_0
user_529,1,3,6,4,3,item_2
user_530,10,10,1,5,5,item_0
user_531,2,4,8,5,7,item_2
user_532,5,6,4,7,8,item_0
user_533,8,10,5,8,5,item_2
user_534,1,7,3,5,1,item_0
user_535,3,10,8,2,4,item_0
user_536,6,3,4,7,2,item_0
user_537,10,4,7,4,4,item_0
user_538,2,5,9,3,1,item_3
user_539,1,6,1,6,1,item_0
user_540,8,8,10,10,4,item_0
user_541,2,6,10,7,10,item_0
user_542,10,6,1,9,5,item_0
user_543,6,10,9,3,1,item_3
user_544,2,9,8,8,3,item_0
user_545,6,10,10,2,1,item_2
user_546,10,10,3,7,4,item_2
user_547,7,7,10,4,8,item_0
user_548,8,6,5,10,1,item_0
user_549,5,1,4,4,1,item_3
user_550,9,1,9,9,3,item_0
user_551,2,6,7,6,9,item_2
user_552,6,3,2,10,7,item_2
user_553,10,8,2,9,9,item_2
user_554,2,5,4,3,3,item_2
user_555,9,6,5,7,10,item_2
user_556,10,2,1,7,7,item_2
user_557,2,8,8,1,9,item_2
user_558,3,10,2,5,9,item_0
user_559,3,1,2,5,3,item_2
user_560,4,7,10,3,1,item_0
user_561,3,8,3,1,6,item_0
user_562,10,5,5,2,4,item_2
user_563,6,9,8,2,5,item_2
user_564,1,1,10,1,2,item_0
user_565,6,8,9,7,3,item_0
user_566,8,4,7,6,6,item_0
user_567,4,5,9,8,10,item_0
user_568,10,5,4,5,7,item_0
user_569,2,10,9,10,3,item_1
user_570,4,4,3,4,6,item_2
user_571,3,10,4,9,5,item_0
user_572,5,6,7,2,6,item_2
user_573,8,6,3,6,2,item_3
user_574,4,3,1,4,5,item_1
user_575,10,1,3,4,10,item_0
user_576,9,9,2,10,1,item_0
user_577,7,6,6,1,9,item_2
user_578,7,8,9,10,6,item_0
user_579,7,8,4,2,4,item_3
user_580,2,6,5,1,4,item_2
user_581,8,5,7,9,3,item_2
user_582,4,3,7,9,9,item_2
user_583,2,8,8,4,10,item_2
user_584,6,8,5,1,7,item_2
user_585,10,10,6,1,3,item_1
user_586,4,3,8,9,6,item_0
user_587,8,3,9,3,5,item_0
user_588,7,7,7,4,9,item_0
user_589,9,9,8,10,6,item_0
user_590,6,10,3,2,3,item_0
user_591,1,8,8,2,6,item_0
user_592,2,8,4,10,5,item_2
user_593,6,9,8,9,7,item_2
user_594,7,5,6,5,6,item_2
user_595,2,7,3,10,6,item_0
user_596,5,8,7,9,6,item_2
user_597,3,3,7,10,8,item_0
user_598,4,6,2,9,8,item_2
user_599,8,8,3,7,10,item_0
user_600,2,1,7,6,6,item_1
user_601,5,9,1,4,2,item_0
user_602,6,2,3,7,5,item_0
user_603,3,10,1,4,3,item_0
user_604,2,3,8,2,6,item_2
user_605,2,2,7,4,5,item_0
user_606,6,9,6,5,7,item_0
user_607,3,3,10,9,3,item_0
user_608,9,5,5,3,10,item_0
user_609,1,7,1,6,10,item_2
user_610,10,7,4,2,2,item_1
user_611,6,5,9,5,5,item_1
user_612,9,10,5,9,3,item_2
user_613,5,9,1,7,4,item_0
user_614,2,1,10,10,5,item_2
user_615,5,9,8,7,2,item_0
user_616,4,5,8,3,6,item_2
user_617,7,5,1,7,6,item_0
user_618,1,9,8,9,4,item_2
user_619,5,10,5,10,5,item_2
user_620,6,3,1,8,10,item_0
user_621,8,8,8,6,5,item_0
user_622,1,5,7,6,4,item_1
user_623,1,10,1,2,10,item_0
user_624,4,3,6,6,5,item_3
user_625,5,2,1,6,3,item_3
user_626,4,10,1,9,5,item_2
user_627,8,3,4,6,6,item_0
user_628,8,3,8,8,4,item_0
user_629,10,3,8,9,6,item_0
user_630,1,2,5,3,8,item_0
user_631,6,3,1,7,7,item_0
user_632,6,1,3,9,2,item_2
user_633,5,7,7,1,2,item_2
user_634,9,9,6,5,5,item_2
user_635,1,8,5,10,2,item_0
user_636,4,10,3,8,6,item_0
user_637,7,6,3,7,6,item_2
user_638,9,10,8,2,6,item_0
user_639,2,5,3,1,10,item_2
user_640,9,3,5,7,3,item_0
user_641,4,2,7,3,4,item_2
user_642,9,5,7,1,8,item_0
user_643,9,4,10,1,1,item_0
user_644,6,6,9,8,4,item_0
user_645,8,7,3,5,10,item_0
user_646,4,8,1,2,3,item_2
user_647,1,1,2,2,7,item_2
user_648,6,2,4,6,8,item_2
user_649,4,5,4,7,4,item_2
user_650,4,3,6,3,5,item_2
user_651,3,7,8,6,2,item_0
user_652,7,6,9,8,7,item_0
user_653,10,2,2,5,7,item_2
user_654,3,5,2,6,7,item_0
user_655,2,8,10,7,8,item_2
user_656,6,7,8,4,10,item_2
user_657,3,1,10,2,2,item_2
user_658,3,10,7,4,5,item_2
user_659,4,5,7,4,4,item_0
user_660,1,6,4,1,2,item_2
user_661,9,6,4,10,5,item_2
user_662,5,6,2,2,1,item_0
user_663,1,3,7,1,8,item_0
user_664,10,9,2,4,5,item_0
user_665,10,3,7,1,3,item_2
user_666,10,7,10,9,8,item_3
user_667,2,6,2,8,7,item_2
user_668,3,9,7,9,4,item_0
user_669,3,7,1,2,7,item_0
user_670,3,2,1,4,10,item_0
user_671,1,1,4,6,8,item_2
user_672,2,9,10,3,4,item_2
user_673,8,4,4,1,10,item_0
user_674,9,4,10,10,10,item_2
user_675,1,9,2,2,2,item_0
user_676,9,3,7,3,9,item_2
user_677,1,6,10,3,8,item_2
user_678,8,5,6,5,2,item_2
user_679,8,2,5,5,5,item_0
user_680,9,6,2,4,8,item_2
user_681,6,10,7,6,3,item_2
user_682,7,3,2,8,8,item_2
user_683,4,7,9,7,7,item_0
user_684,7,8,5,9,5,item_0
user_685,7,10,10,10,1,item_2
user_686,1,9,3,9,2,item_0
user_687,3,2,9,6,8,item_0
user_688,2,7,10,9,6,item_2
user_689,9,2,6,8,4,item_2
user_690,10,6,2,2,3,item_0
user_691,10,4,9,3,4,item_0
user_692,4,1,1,8,2,item_1
user_693,3,8,2,2,5,item_3
user_694,1,8,3,7,4,item_2
user_695,6,1,10,4,5,item_0
user_696,6,4,9,10,5,item_0
user_697,4,1,2,4,9,item_0
user_698,8,10,10,2,7,item_0
user_699,1,8,2,6,6,item_0
user_700,2,9,4,6,4,item_0
user_701,8,6,6,3,4,item_0
user_702,3,8,6,4,4,item_2
user_703,7,6,8,6,3,item_2
user_704,4,7,3,1,8,item_2
user_705,7,7,7,2,6,item_2
user_706,4,2,6,5,9,item_0
user_707,5,7,9,4,9,item_0
user_708,2,4,3,3,6,item_0
user_709,7,6,5,6,3,item_1
user_710,5,9,8,10,1,item_2
user_711,5,2,10,2,7,item_2
user_712,9,10,4,5,7,item_2
user_713,10,7,4,3,7,item_2
user_714,7,9,7,9,1,item_0
user_715,4,5,8,4,9,item_0
user_716,2,2,7,1,2,item_0
user_717,10,6,6,1,3,item_1
user_718,5,1,3,5,4,item_0
user_719,3,3,7,2,4,item_2
user_720,6,9,3,1,8,item_0
user_721,1,9,7,2,7,item_0
user_722,5,3,2,9,4,item_2
user_723,5,6,5,4,3,item_0
user_724,10,7,1,9,8,item_2
user_725,9,5,1,1,4,item_0
user_726,8,10,6,2,8,item_0
user_727,2,1,5,3,4,item_0
user_728,8,9,10,2,9,item_0
user_729,2,5,10,7,7,item_0
user_730,9,3,3,5,3,item_2
user_731,7,2,2,5,1,item_2
user_732,9,9,10,5,3,item_2
user_733,4,7,2,1,4,item_0
user_734,2,1,3,8,7,item_2
user_735,4,8,5,8,4,item_3
user_736,5,4,6,6,3,item_0
user_737,7,2,1,2,5,item_0
user_738,1,5,6,4,1,item_2
user_739,6,5,2,10,7,item_0
user_740,6,2,7,1,2,item_2
user_741,5,1,7,2,10,item_2
user_742,10,9,7,3,8,item_0
user_743,7,3,9,3,1,item_0
user_744,7,3,3,5,9,item_0
user_745,6,5,6,4,10,item_0
user_746,6,10,5,8,8,item_1
user_747,3,9,5,6,3,item_2
user_748,1,7,8,3,3,item_1
user_749,6,3,2,6,1,item_0
user_750,4,1,2,5,5,item_2
user_751,2,7,8,2,2,item_3
user_752,7,2,8,2,5,item_0
user_753,4,4,10,10,4,item_0
user_754,7,9,7,5,7,item_0
user_755,3,9,8,3,5,item_0
user_756,6,5,10,3,9,item_2
user_757,8,6,7,4,10,item_2
user_758,10,7,6,1,10,item_2
user_759,4,7,9,6,2,item_0
user_760,10,10,4,5,2,item_2
user_761,1,10,4,3,4,item_1
user_762,6,5,2,7,7,item_2
user_763,9,7,6,9,9,item_0
user_764,7,9,3,10,9,item_2
user_765,5,3,9,3,7,item_0
user_766,9,4,4,10,5,item_0
user_767,10,8,7,4,6,item_0
user_768,6,3,3,5,7,item_2
user_769,6,8,8,7,6,item_0
user_770,2,3,1,9,6,item_0
user_771,8,9,7,7,5,item_0
user_772,2,8,3,6,10,item_0
user_773,1,6,3,3,8,item_2
