x1,x2,x3,x4,y
0.9760590591,0.8138049201,0.05670950083,0.7916255305,B
0.2746414086,0.5194771997,0.9719340859,0.835601618,C
0.08134445609,0.1229146069,0.2895625504,0.3119080695,B
0.6090835239,0.8842839937,0.1023008626,0.7299452896,A
0.88090363,0.8535145171,0.2576714851,0.3320727957,A
0.3595036615,0.396914877,0.3122565756,0.4600679154,B
0.3442073391,0.9468737293,0.6917179386,0.2442665297,C
0.4449517787,0.4591694682,0.2957423224,0.6493356855,A
0.3705963209,0.445135222,0.8604428282,0.7096593433,C
0.6416517892,0.3642927608,0.9205541779,0.1726617887,C
0.06274069364,0.3295114153,0.8708298485,0.4288607756,C
0.4442037095,0.1172198089,0.1844312377,0.2200684047,B
0.4693136281,0.5486130302,0.1560293458,0.4861870781,B
0.3515802378,0.9291020047,0.4674251425,0.6417664197,C
0.1228312397,0.7258652165,0.2729487402,0.6567117367,B
0.7395031356,0.9480686862,0.5147970085,0.5797757089,C
0.4994715612,0.6528427443,0.7733620243,0.5630369013,A
0.7763070489,0.432941775,0.3169749588,0.57420335,A
0.09057144148,0.9712733535,0.4608717674,0.514298588,B
0.9286799019,0.1967880576,0.7549381106,0.2915752575,B
0.7146664281,0.1909238897,0.7278507724,0.3360733502,C
0.4837854878,0.1460833555,0.3603379422,0.9738990171,B
0.2067710759,0.2322278844,0.3864805693,0.6677192436,A
0.8854170957,0.72532171,0.3124230999,0.06936801124,A
0.7186004662,0.1980972578,0.7991972623,0.5525195664,B
0.1973218779,0.1056990362,0.3242171071,0.1508690769,B
0.6482429117,0.8237641163,0.5873850017,0.7431844276,C
0.5231214981,0.7927331126,0.02735780635,0.7319238075,C
0.1171665481,0.6097312003,0.4922813511,0.8863122124,A
0.03890254398,0.6871660555,0.9706110373,0.4796961998,B
0.9312592093,0.6721032968,0.3961601915,0.6079528304,C
0.4442585616,0.4351818874,0.226514885,0.3326842617,A
0.9338739339,0.8359853616,0.2304435036,0.8002043162,A
0.07615229597,0.5199265132,0.6322158002,0.3412478769,A
0.4937089372,0.01864805521,0.724096949,0.9856979813,A
0.8263789655,0.05173833209,0.8557689064,0.5499080737,A
0.8080545535,0.8952861746,0.2322438164,0.2208917914,B
0.9797180952,0.637704018,0.2125609826,0.7722007316,C
0.5598674585,0.6850638387,0.3612685885,0.3764300017,B
0.4712587755,0.2835912531,0.5957743213,0.715729812,B
0.8907975816,0.4405076397,0.7307855548,0.9176969538,A
0.1261911322,0.6874487325,0.1207589641,0.09400845904,C
0.3653244686,0.8490613705,0.02085006579,0.1934784919,C
0.6750205487,0.9118990812,0.409769462,0.3128973873,B
0.6553172574,0.4697575826,0.8089492457,0.2458501799,B
0.666251326,0.6122020912,0.6078169186,0.1962705781,C
0.6994976671,0.8166286576,0.5480078439,0.8786752373,A
0.464798294,0.293479972,0.6725850828,0.3744000211,C
